url,property_id,num_of_rooms,Locality_name,postal_code,price,property_type,sub_property_type,type_sale,living_area,kitchen_type,Furnished,Open_fire,Terrace,Garden,Number_of_faceds,Swimming_pool,State_of_building
https://www.immoweb.be/nl/zoekertje/huis/te-koop/wachtebeke/9185/8673220,8673220,4,wachtebeke,9185,,Huis ,,Non public,194 m²,Geïnstalleerd,0,0,,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/huis/te-koop/bande/6951/8673781,8673781,3,bande,6951,,Huis ,,Non public,137 m²,Semi uitgerust,0,0,,,3,,Te renoveren
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/wezemaal/3111/8674028,8674028,1,wezemaal,3111,,Appartement ,,Non public,61 m²,,0,0,39 m²,,,,
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/eeklo/9900/8674083,8674083,1,eeklo,9900,202500€,Appartement,Serviceflat ,Non public,74 m²,Geïnstalleerd,0,0,10 m²,,,0.0,Goed
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/eeklo/9900/8674084,8674084,1,eeklo,9900,227500€,Appartement,Serviceflat ,Non public,85 m²,Geïnstalleerd,0,0,8 m²,,,0.0,Goed
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/eeklo/9900/8674085,8674085,1,eeklo,9900,232500€,Appartement,Serviceflat ,Non public,82 m²,Geïnstalleerd,0,0,11 m²,92 m²,,0.0,Goed
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/eeklo/9900/8674086,8674086,2,eeklo,9900,217500€,Appartement,Serviceflat ,Non public,85 m²,Geïnstalleerd,0,0,13 m²,,,0.0,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/houtain-saint-simeon/4682/8674399,8674399,4,houtain-saint-simeon,4682,,Huis,Villa ,Non public,140 m²,Geïnstalleerd,0,1,Ja,970 m²,4,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/heure-le-romain/4682/8674400,8674400,4,heure-le-romain,4682,,Huis ,,Non public,140 m²,Geïnstalleerd,0,1,30 m²,794 m²,3,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/koksijde/8670/8675220,8675220,2,koksijde,8670,,Appartement,Benedenverdieping ,Non public,65 m²,,0,0,10 m²,,,,Goed
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/koksijde/8670/8675221,8675221,2,koksijde,8670,,Appartement ,,Non public,65 m²,Geïnstalleerd,0,0,,,,0.0,Uitstekende staat
