url,property_id,num_of_rooms,Locality_name,postal_code,price,property_type,sub_property_type,type_sale,living_area,kitchen_type,Furnished,Open_fire,Terrace,Garden,Number_of_faceds,Swimming_pool,State_of_building
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7196471,7196471,1,antwerpen,2000,,Appartement ,,Non public,50 m²,,0,0,,,,,
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7196472,7196472,1,antwerpen,2000,,Appartement ,,Non public,63 m²,,0,0,,,,,
https://www.immoweb.be/nl/zoekertje/huis/te-koop/dalhem/4607/7196538,7196538,3,dalhem,4607,,Huis ,,Non public,130 m²,,0,0,,65 m²,2,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/haccourt/4684/7198716,7198716,3,haccourt,4684,,Huis ,,Non public,535 m²,Niet geïnstalleerd,0,2,Ja,1540 m²,4,,Te renoveren
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/de-haan/8420/7200495,7200495,2,de-haan,8420,,Appartement ,,Non public,104 m²,Geïnstalleerd,0,0,Ja,,,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/theux-polleur/4910/7203235,7203235,4,theux-polleur,4910,,Gebouw voor,,Non public,200 m²,Geïnstalleerd,0,0,Ja,100 m²,3,0.0,Goed
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/bredene/8450/7204999,7204999,3,bredene,8450,,Appartement,Duplex ,Non public,130 m²,,0,0,,,2,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/huis/te-koop/heusden-zolder/3550/7209104,7209104,3,heusden-zolder,3550,,Huis ,,Non public,200 m²,,0,0,,1840 m²,4,,Goed
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/de-panne/8660/7211874,7211874,1,de-panne,8660,,Appartement ,,Non public,31 m²,Geïnstalleerd,1,0,,,2,,Goed
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/halle/1500/7214387,7214387,1,halle,1500,,Appartement ,,Non public,,,0,0,,,,0.0,
